idiom,repo,html,class,met,lineno,non-pythonic,pythonic,operation-lag,detection-correct,refactor-correct
List-compreh,OnlineSchemaChange,https://github.com/facebookincubator/OnlineSchemaChange/tree/master/core/lib/payload/copy.py,CopyPayload,trigger_check$699,709,"trigger_desc = []
for trigger in triggers:
    trigger_desc.append('Trigger name: {}, Action: {} {}'.format(trigger['TRIGGER_NAME'], trigger['ACTION_TIMING'], trigger['EVENT_MANIPULATION']))","trigger_desc = ['Trigger name: {}, Action: {} {}'.format(trigger['TRIGGER_NAME'], trigger['ACTION_TIMING'], trigger['EVENT_MANIPULATION']) for trigger in triggers]",1,1,1
List-compreh,checkov,https://github.com/bridgecrewio/checkov/tree/master/checkov/common/output/report.py,Report,get_test_suites$366,368,"test_suites = []
for key in test_cases.keys():
    test_suites.append(TestSuite(name=key, test_cases=test_cases[key], package=test_cases[key][0].classname))","test_suites = [TestSuite(name=key, test_cases=test_cases[key], package=test_cases[key][0].classname) for key in test_cases.keys()]",1,1,1
List-compreh,pycparser,https://github.com/eliben/pycparser/tree/master/pycparser/c_ast.py,EnumeratorList,children$555,556,"nodelist = []
for (i, child) in enumerate(self.enumerators or []):
    nodelist.append(('enumerators[%d]' % i, child))","nodelist = [('enumerators[%d]' % i, child) for (i, child) in enumerate(self.enumerators or [])]",1,1,1
List-compreh,Dshell,https://github.com/USArmyResearchLab/Dshell/tree/master/dshell/decode.py,,print_plugins$146,151,"rows = []
for (name, module) in sorted(plugins.items()):
    rows.append([module.__module__, name, module.name, module.__class__.__bases__[0].__name__, module.author, module.description])","rows = [[module.__module__, name, module.name, module.__class__.__bases__[0].__name__, module.author, module.description] for (name, module) in sorted(plugins.items())]",1,1,1
List-compreh,gef,https://github.com/hugsy/gef/tree/master//gef.py,CapstoneDisassembleCommand,capstone_analyze_pc$6915,6928,"msg = []
for (i, new_insn) in enumerate(capstone_disassemble(target_address, nb_insn)):
    msg.append('   {}  {}'.format(DOWN_ARROW if i == 0 else ' ', str(new_insn)))","msg = ['   {}  {}'.format(DOWN_ARROW if i == 0 else ' ', str(new_insn)) for (i, new_insn) in enumerate(capstone_disassemble(target_address, nb_insn))]",1,1,1
List-compreh,NeoVintageous,https://github.com/NeoVintageous/NeoVintageous/tree/master/nv/commands.py,nv_vi_big_o,run$2194,2199,"new = []
for i in range(0, count):
    new.append(Region(start_of_line + i, start_of_line + i))","new = [Region(start_of_line + i, start_of_line + i) for i in range(0, count)]",1,1,1
List-compreh,PyTorch-VAE,https://github.com/AntixK/PyTorch-VAE/tree/master/models/hvae.py,HVAE,__init__$10,73,"modules = []
for i in range(len(hidden_dims) - 1):
    modules.append(nn.Sequential(nn.ConvTranspose2d(hidden_dims[i], hidden_dims[i + 1], kernel_size=3, stride=2, padding=1, output_padding=1), nn.BatchNorm2d(hidden_dims[i + 1]), nn.LeakyReLU()))","modules = [nn.Sequential(nn.ConvTranspose2d(hidden_dims[i], hidden_dims[i + 1], kernel_size=3, stride=2, padding=1, output_padding=1), nn.BatchNorm2d(hidden_dims[i + 1]), nn.LeakyReLU()) for i in range(len(hidden_dims) - 1)]",1,1,1
List-compreh,PaddleDetection,https://github.com/PaddlePaddle/PaddleDetection/tree/master/ppdet/modeling/proposal_generator/rpn_head.py,RPNFeat,forward$47,48,"rpn_feats = []
for feat in feats:
    rpn_feats.append(F.relu(self.rpn_conv(feat)))",rpn_feats = [F.relu(self.rpn_conv(feat)) for feat in feats],1,1,1
List-compreh,djongo,https://github.com/nesdis/djongo/tree/master/tests/django_tests/tests/v22/tests/forms_tests/tests/test_formsets.py,FormsFormsetTestCase,test_min_num_displaying_more_than_one_blank_form_with_zero_extra$294,298,"form_output = []
for form in formset.forms:
    form_output.append(form.as_ul())",form_output = [form.as_ul() for form in formset.forms],1,1,1
List-compreh,azure-devops-cli-extension,https://github.com/Azure/azure-devops-cli-extension/tree/master/azure-devops/azext_devops/dev/repos/pull_request.py,,remove_pull_request_work_items$449,493,"ids = []
for ref in refs:
    ids.append(ref.id)",ids = [ref.id for ref in refs],1,1,1
